"Language","Source Text","Translated Text"
"fr","Payment Reminder","Rappel de paiement"
"fr","Payment Reminder Level","Niveau de rappel de paiement"
"fr","Exclude From Payment Reminder Until","Exclure du rappel de paiement jusqu'au"
"fr","Level","Niveau"
"fr","Create Payment Reminders","Créer des rappels de paiement"
"fr","Payment Reminders created","Rappels de paiement créés"
"fr","Reminder Level","Niveau de rappel"
"fr","Reminder Charge","Charge de rappel"
"fr","Auto Submit","Soumission automatique"
"fr","Reminder Charges","Frais de rappel"
"fr","Highest Level","Plus haut niveau"
"fr","Total before Charge","Total avant charge"
"fr","Total with Charge","Total avec charge"
"fr","Are you sure you want to create payment reminders?","Voulez-vous vraiment créer des rappels de paiement?"
"fr","Is proposed","Est proposé"
"fr","Skonto Percent","Pourcentage Skonto"
"fr","Skonto Days","Journées Skonto"
"fr","Skonto Account","Compte Skonto"
"fr","Skonto Cost Center","Centre de coûts de Skonto"
"fr","Enable LSV","Activer LSV"
"fr","Direct Debit Proposal","Proposition de prélèvement automatique"
"fr","Create Direct Debit Proposal","Créer une proposition de prélèvement automatique"
"fr","No available sales invoices found.","Aucune facture de vente disponible trouvée."
"fr","Download bank file","Télécharger le dossier bancaire"
"fr","Receive to Account","Recevoir sur le compte"
"fr","Banking","Bancaire"
"fr","LSV Code","Code LSV"
"fr","LSV Date","Date LSV"
"fr","Please provide an intermediate account.","Veuillez fournir un compte intermédiaire."
"fr","Please provide a skonto account and cost center.","Veuillez fournir un compte skonto et un centre de coûts."
"fr","Please select an account to receive to.","Veuillez sélectionner un compte pour recevoir."
"fr","Rechnungen gegen Zwischenkonto schliessen","Rechnungen gegen Zwischenkonto schliessen"
"fr","Intermediate","Intermédiaire"
"fr","Create Payment Proposal","Créer une proposition de paiement"
"fr","Payment Proposal","Proposition de paiement"
"fr","No suitable invoices found.","Aucune facture appropriée trouvée."
"fr","Intermediate Account","Compte intermédiaire"
"fr","Close Invoive on Intermediate Account","Clôturer la facture sur le compte intermédiaire"
"fr","Please select an intermediate account.","Veuillez sélectionner un compte intermédiaire."
"fr","Set Payment Date","Définir la date de paiement"
"fr","Pay from Account","Payer à partir du compte"
"fr","Execute Payments On","Exécuter les paiements le"
"fr","Invoice Amount","Montant de la facture"
"fr","External Reference","Référence externe"
"fr","Skonto Date","Date de Skonto"
"fr","Skonto Amount","Montant Skonto"
"fr","Individual payments","Paiements individuels"
"fr","Bank Wizard","Assistant bancaire"
"fr","Transaction matched","Transaction appariée"
"fr"," transactions found","transactions trouvées"
"fr","Please set the <b>default accounts</b> in <a href=\/desk#Form/Company/{0}\>{0}</a>.Bitte setzten Sie <b>Standardkonten</b> unter <a href=\/desk#Form/Company/{0}\>{0}</a>.","Veuillez définir les <b> comptes par défaut </b> dans <a href=\/desk#Form/Company/{0}\> {0} </a> .Bitte setzten Sie <b> Standardkonten </ b > unter <a href=\/desk#Form/Company/{0}\> {0} </a>."
"fr","Please set the <b>default supplier</b> in <a href=\/desk#Form/ERPNextSwiss Settings\>ERPNextSwiss Settings</a>.","Veuillez définir le <b> fournisseur par défaut </b> dans les <a href=\/desk#Form/ERPNextSwiss Settings\> ERPNextSwiss Settings </a>."
"fr","Please set the <b>default customer</b> in <a href=\/desk#Form/ERPNextSwiss Settings\>ERPNextSwiss Settings</a>.","Veuillez définir le <b> client par défaut </b> dans les <a href=\/desk#Form/ERPNextSwiss Settings\> ERPNextSwiss Settings </a>."
"fr","Please set the <b>intermediate bank account</b> in <a href=\/desk#Form/ERPNextSwiss Settings\>ERPNextSwiss Settings</a>.","Veuillez définir le <b> compte bancaire intermédiaire </b> dans les <a href=\/desk#Form/ERPNextSwiss Settings\> ERPNextSwiss Settings </a>."
"fr","An error occurred while parsing. Please check the log files.","Une erreur s'est produite lors de l'analyse. Veuillez vérifier les fichiers journaux."
"fr","Unsupported file format. Please use an xml or zip camt file","Format de fichier non pris en charge. Veuillez utiliser un fichier xml ou zip camt"
"fr","Daily Closing Statement","Déclaration de clôture quotidienne"
"fr","Statistics","Statistiques"
"fr","Total Sales","Ventes totales"
"fr","Average Sales","Ventes moyennes"
"fr","Number of Customers","Nombre de clients"
"fr","Highest Sale","Vente la plus élevée"
"fr","Discounts","Réductions"
"fr","Count","Compter"
"fr","Currencies","Devises"
"fr","Payment Modes","Modes de paiement"
"fr","Inspection Equipment","Matériel d'inspection"
"fr","Transaction","Transaction"
"fr","Calibration / Test","Calibration / Test"
"fr","Inspection Equipment Transaction","Transaction d'équipement d'inspection"
"fr","General","Général"
"fr","Type","Taper"
"fr","Manufacturer","Fabricant"
"fr","Inventory Number","Numéro d'inventaire"
"fr","Location","Lieu"
"fr","Measurement Range","Gamme de mesure"
"fr","Usage","Usage"
"fr","Purchase Price","Prix ​​d'achat"
"fr","Purchase Date","date d'achat"
"fr","Transaction Status","Statut de la transaction"
"fr","On Stock","En stock"
"fr","Taken","Pris"
"fr","Calibration","Étalonnage"
"fr","Last Calibration","Dernier étalonnage"
"fr","Next Calibration","Étalonnage suivant"
"fr","Calibration Test Set","Kit de test d'étalonnage"
"fr","Calibration Test","Test d'étalonnage"
"fr","Calibration Interval","Intervalle d'étalonnage"
"fr","Current Inspection Equipment Status","État actuel de l'équipement d'inspection"
"fr","New Inspection Equipment Status","État du nouvel équipement d'inspection"
"fr","Inspection Equipment Type","Type d'équipement d'inspection"
"fr","Perform Test","Effectuer un test"
"fr","Test Plan Items","Éléments du plan de test"
"fr","Operating Instructions","Mode d'emploi"
"fr","Test based on","Test basé sur"
"fr","Inspection Decision OK?","Décision d'inspection OK?"
"fr","Inspection Decision OK","Décision d'inspection OK"
"fr","Calibration / Test-Set","Calibration / Test-Set"
"fr","Caution","Mise en garde"
"fr","To Calibrate","Pour calibrer"
"fr","Calibrated","Calibré"
"fr","Without Calibration","Sans étalonnage"
"fr","Scrap","Abandonner"
"fr","Blocked","Bloqué"
"fr","in months","en mois"
"fr","Taken by","Pris par"
"fr","VAT query","Requête TVA"
"fr","Non Conformity Report 8D","Rapport de non-conformité 8D"
"fr","D1 Use a Team","D1 Utiliser une équipe"
"fr","D2 Describe the Problem","D2 Décrivez le problème"
"fr","D3 Develop Interim Containment Plan","D3 Élaborer un plan de confinement provisoire"
"fr","D4 Determine and Verify Root Causes and Escape Points","D4 Déterminer et vérifier les causes profondes et les points d'échappement"
"fr","D5 Verify Permanent Corrections (PCs) for Problem will resolve problem for the customer","D5 Vérifier que les corrections permanentes (PC) pour le problème résoudra le problème pour le client"
"fr","D6 Define and Implement Corrective Actions","D6 Définir et mettre en œuvre des actions correctives"
"fr","D7 Prevent Recurrence / System Problems","D7 Empêcher la récurrence / les problèmes système"
"fr","D8 Congratulate the Main Contributors to your Team","D8 Félicitez les principaux contributeurs de votre équipe"
"fr","Establish a team of people with product/process knowledge.","Mettre en place une équipe de personnes ayant une connaissance des produits / processus."
"fr","Specify the problem by identifying in quantifiable terms the who, what, where, when, why, how, and how many (5W2H) for the problem.","Spécifiez le problème en identifiant en termes quantifiables le qui, quoi, où, quand, pourquoi, comment et combien (5W2H) pour le problème."
"fr","Problem Description","Description du problème"
"fr","Define and implement containment actions to isolate the problem from any customer.","Définissez et mettez en œuvre des actions de confinement pour isoler le problème de n'importe quel client."
"fr","Interim Containment Plan","Plan de confinement provisoire"
"fr","Identify all applicable causes that could explain why the problem has occurred. Also identify why the problem was not noticed at the time it occurred. All causes shall be verified or proved. One can use five whys or Ishikawa diagrams to map causes against the effect or problem identified.","Identifiez toutes les causes applicables qui pourraient expliquer pourquoi le problème s'est produit. Identifiez également pourquoi le problème n'a pas été remarqué au moment où il s'est produit. Toutes les causes doivent être vérifiées ou prouvées. On peut utiliser cinq pourquoi ou diagrammes d'Ishikawa pour cartographier les causes par rapport à l'effet ou au problème identifié."
"fr","Root Cause Analysis","Analyse de la cause originelle"
"fr","Using pre-production programs, quantitatively confirm that the selected correction will resolve the problem. (Verify that the correction will actually solve the problem.)","À l'aide de programmes de pré-production, confirmez quantitativement que la correction sélectionnée résoudra le problème. (Vérifiez que la correction résoudra réellement le problème.)"
"fr","Remedial Actions","Des mesures correctives"
"fr","Define and Implement the best corrective actions.","Définir et mettre en œuvre les meilleures actions correctives."
"fr","Modify the management systems, operation systems, practices, and procedures to prevent recurrence of this and similar problems.","Modifiez les systèmes de gestion, les systèmes d'exploitation, les pratiques et les procédures pour éviter la récurrence de ce problème et d'autres problèmes similaires"
"fr","Recognize the collective efforts of the team. The team needs to be formally thanked by the organization.","Reconnaissez les efforts collectifs de l'équipe. L'équipe doit être officiellement remerciée par l'organisation."
"fr","Invalid ESR Code Line","Ligne de code ESR non valide"
"fr","Scan Invoice","Scanner la facture"
"fr","ESR Amount","Montant ESR"
"fr","Amount Deviation","Écart de montant"
"fr","Add negative deviation as discount","Ajouter un écart négatif comme remise"
"fr","Add positive deviation as additional item","Ajouter un écart positif comme élément supplémentaire"
"fr","Positive Deviation Item","Élément d'écart positif"
"fr","Default Item","Élément par défaut"
"fr","Tax Rate in %","Taux d'imposition en%"
"fr","ESR Reference","Référence ESR"
"fr","ESR Participant","Participant ESR"
"fr","Process","Traiter"
"fr","Supplier matched","Fournisseur apparié"
"fr","Supplier found, but does not match with Invoice Supplier!","Fournisseur trouvé, mais ne correspond pas au fournisseur de la facture!"
"fr","No Supplier found! Fetched default Supplier.","Aucun fournisseur trouvé! Fournisseur par défaut récupéré."
"fr","Multiple Supplier found, please choose one!","Plusieurs fournisseurs trouvés, veuillez en choisir un!"
"fr","ESR / Invoice amount matched","Correspondance entre le montant ESR et la facture"
"fr","Default Positive Deviation Item","Élément d'écart positif par défaut"
"fr","Default Tax Rate","Taux de taxe par défaut"
"fr","Currency","Monnaie"
"fr","Payment part","Section de paiement"
"fr","Receipt","Récépissé"
"fr","Lead","Prospect"
"fr","Account / Payable to","Compte / Payable à"
"fr","Reference number","Numéro de référence"
"fr","Payable by","Payable par"
"fr","Additional Information","Informations supplémentaires"
"fr","Payable by","Payable par"
"fr","Amount HT","Montant HT"
"fr","Amount incl.","Montant TTC"
"fr","VAT","TVA"
"fr","Total incl.","Total TTC"
